160.1	11.24
160.4	11.25
160.7	11.26
161	11.27
161.2	11.28
161.5	11.29
161.8	11.3
162.1	11.31
162.4	11.32
162.7	11.33
163	11.34
163.3	11.35
163.6	11.36
163.9	11.37
164.1	11.38
164.4	11.39
164.7	11.4
165	11.41
165.3	11.42
165.6	11.43
165.9	11.44
166.2	11.45
166.5	11.46
166.8	11.47
167	11.48
167.3	11.49
167.6	11.5
167.9	11.51
168.2	11.52
168.5	11.53
168.8	11.54
169.1	11.55
169.4	11.56
169.7	11.57
169.9	11.58
170.2	11.59
170.5	11.6
170.8	11.61
171.1	11.62
171.4	11.63
171.7	11.64
172	11.65
172.3	11.66
172.6	11.67
172.9	11.68
173.1	11.69
173.4	11.7
173.7	11.71
174	11.72
174.3	11.73
174.6	11.74
174.9	11.75
175.2	11.76
175.5	11.77
175.8	11.78
176	11.79
176.3	11.8
176.6	11.81
176.9	11.82
177.2	11.83
177.5	11.83
177.8	11.84
178.1	11.85
178.4	11.86
178.7	11.87
178.9	11.88
179.2	11.89
179.5	11.9
179.8	11.91
180.1	11.92
180.4	11.93
180.7	11.94
181	11.95
181.3	11.96
181.6	11.97
181.9	11.98
182.1	11.99
182.4	12
182.7	12.01
183	12.02
183.3	12.03
183.6	12.04
183.9	12.05
184.2	12.06
184.5	12.07
184.8	12.08
185	12.09
185.3	12.1
185.6	12.11
185.9	12.12
186.2	12.13
186.5	12.14
186.8	12.15
187.1	12.16
187.4	12.17
187.7	12.18
187.9	12.19
188.2	12.2
188.5	12.21
188.8	12.22
189.1	12.23
189.4	12.24
189.7	12.25
190	12.26
190.3	12.27
190.6	12.28
190.9	12.29
191.1	12.3
191.4	12.31
191.7	12.32
192	12.33
192.3	12.34
192.6	12.35
192.9	12.36
193.2	12.37
193.5	12.38
193.8	12.39
194	12.4
194.3	12.41
194.6	12.42
194.9	12.43
195.2	12.44
195.5	12.45
195.8	12.46
196.1	12.47
196.4	12.48
196.7	12.49
196.9	12.5
197.2	12.51
197.5	12.52
197.8	12.53
198.1	12.54
198.4	12.55
198.7	12.56
199	12.57
199.3	12.58
199.6	12.59
199.8	12.59
200.1	12.6
200.4	12.61
200.7	12.62
201	12.62
201.3	12.63
201.6	12.64
201.9	12.64
202.2	12.65
202.5	12.66
202.8	12.66
203	12.67
203.3	12.68
203.6	12.68
203.9	12.69
204.2	12.7
204.5	12.7
204.8	12.71
205.1	12.72
205.4	12.72
205.7	12.73
205.9	12.74
206.2	12.74
206.5	12.75
206.8	12.76
207.1	12.76
207.4	12.77
207.7	12.78
208	12.78
208.3	12.79
208.6	12.8
208.8	12.8
209.1	12.81
209.4	12.82
209.7	12.82
210	12.83
210.3	12.84
210.6	12.84
210.9	12.85
211.2	12.86
211.5	12.86
211.8	12.87
212	12.88
212.3	12.88
212.6	12.89
212.9	12.9
213.2	12.9
213.5	12.91
213.8	12.92
214.1	12.92
214.4	12.93
214.7	12.94
214.9	12.94
215.2	12.95
215.5	12.96
215.8	12.96
216.1	12.97
216.4	12.98
216.7	12.98
217	12.99
217.3	13
217.6	13
217.8	13.01
218.1	13.02
218.4	13.02
218.7	13.03
219	13.04
219.3	13.04
219.6	13.05
219.9	13.06
220.2	13.06
220.5	13.07
220.8	13.08
221	13.08
221.3	13.09
221.6	13.1
221.9	13.1
222.2	13.11
222.5	13.12
222.8	13.12
223.1	13.13
223.4	13.14
223.7	13.14
223.9	13.15
224.2	13.16
224.5	13.16
224.8	13.17
225.1	13.18
225.4	13.18
225.7	13.19
226	13.2
226.3	13.2
226.6	13.21
226.8	13.22
227.1	13.22
227.4	13.23
227.7	13.24
228	13.24
228.3	13.25
228.6	13.26
228.9	13.26
229.2	13.27
229.5	13.28
229.7	13.28
230	13.29
230.3	13.3
230.6	13.3
230.9	13.31
231.2	13.32
231.5	13.32
231.8	13.33
232.1	13.34
232.4	13.34
232.7	13.35
232.9	13.36
233.2	13.36
233.5	13.37
233.8	13.38
234.1	13.38
234.4	13.39
234.7	13.4
235	13.4
235.3	13.41
235.6	13.42
235.8	13.42
236.1	13.43
236.4	13.44
236.7	13.44
237	13.45
237.3	13.46
237.6	13.46
237.9	13.47
238.2	13.48
238.5	13.48
238.7	13.49
239	13.5
239.3	13.5
239.6	13.51
239.9	13.52
240.2	13.52
240.5	13.53
240.8	13.54
241.1	13.54
241.4	13.55
241.7	13.56
241.9	13.56
242.2	13.57
242.5	13.58
242.8	13.58
243.1	13.59
243.4	13.6
243.7	13.6
244	13.61
244.3	13.62
244.6	13.62
244.8	13.63
245.1	13.64
245.4	13.64
245.7	13.65
246	13.66
246.3	13.66
246.6	13.67
246.9	13.68
247.2	13.68
247.5	13.69
247.7	13.7
248	13.7
248.3	13.71
248.6	13.72
248.9	13.72
249.2	13.73
249.5	13.74
249.8	13.74
250.1	13.75
250.4	13.76
250.7	13.76
250.9	13.77
251.2	13.78
251.5	13.78
251.8	13.79
252.1	13.8
252.4	13.81
252.7	13.81
253	13.82
253.3	13.83
253.6	13.83
253.8	13.84
254.1	13.85
254.4	13.85
254.7	13.86
255	13.87
255.3	13.87
255.6	13.88
255.9	13.89
256.2	13.89
256.5	13.9
256.7	13.91
257	13.91
257.3	13.92
257.6	13.93
257.9	13.93
258.2	13.94
258.5	13.95
258.8	13.95
259.1	13.96
259.4	13.97
259.6	13.97
259.9	13.98
260.2	13.99
260.5	13.99
260.8	14
261.1	14.01
261.4	14.01
261.7	14.02
262	14.03
262.3	14.03
262.6	14.04
262.8	14.05
263.1	14.05
263.4	14.06
263.7	14.07
264	14.07
264.3	14.08
264.6	14.09
264.9	14.09
265.2	14.1
265.5	14.11
265.7	14.11
266	14.12
266.3	14.13
266.6	14.13
266.9	14.14
267.2	14.15
267.5	14.15
267.8	14.16
268.1	14.17
268.4	14.17
268.6	14.18
268.9	14.19
269.2	14.19
269.5	14.2
269.8	14.21
270.1	14.21
270.4	14.22
270.7	14.23
271	14.23
271.3	14.24
271.6	14.25
271.8	14.25
272.1	14.26
272.4	14.27
272.7	14.27
273	14.28
273.3	14.29
273.6	14.29
273.9	14.3
274.2	14.31
274.5	14.31
274.7	14.32
275	14.33
275.3	14.33
275.6	14.34
275.9	14.35
276.2	14.35
276.5	14.36
276.8	14.37
277.1	14.37
277.4	14.38
277.6	14.39
277.9	14.39
278.2	14.4
278.5	14.41
278.8	14.41
279.1	14.42
279.4	14.43
279.7	14.43
280	14.44
280.3	14.45
280.6	14.45
280.8	14.46
281.1	14.47
281.4	14.47
281.7	14.48
282	14.49
282.3	14.49
282.6	14.5
282.9	14.51
283.2	14.51
283.5	14.52
283.7	14.53
284	14.53
284.3	14.54
284.6	14.55
284.9	14.55
285.2	14.56
285.5	14.57
285.8	14.57
286.1	14.58
286.4	14.59
286.6	14.59
286.9	14.6
287.2	14.61
287.5	14.61
287.8	14.62
288.1	14.63
288.4	14.63
288.7	14.64
289	14.65
289.3	14.65
289.5	14.66
289.8	14.67
290.1	14.67
290.4	14.68
290.7	14.69
291	14.69
291.3	14.7
291.6	14.71
291.9	14.71
292.2	14.72
292.5	14.73
292.7	14.73
293	14.74
293.3	14.75
293.6	14.75
293.9	14.76
294.2	14.77
294.5	14.77
294.8	14.78
295.1	14.79
295.4	14.79
295.6	14.8
295.9	14.81
296.2	14.81
296.5	14.82
296.8	14.83
297.1	14.83
297.4	14.84
297.7	14.85
298	14.85
298.3	14.86
298.5	14.87
298.8	14.87
299.1	14.88
299.4	14.89
299.7	14.89
300	14.9
